D'	PRP	de
aussi	ADV	aussi
loin	ADV	loin
,	PUN	,
Un	VER:simp	<unknown>
simple	ADJ	simple
texte	NOM	texte
n'	ADV	ne
est	VER:pres	être
un	DET:ART	un
contenant	VER:ppre	contenir
de	PRP	de
plusieurs	PRO:IND	plusieurs
lignes	NOM	ligne
qu'	KON	que
aujourd'hui	ADV	aujourd'hui
.	SENT	.
Il	PRO:PER	il
contient	VER:pres	contenir
également	ADV	également
plusieurs	PRO:IND	plusieurs
paragraphes	NOM	paragraphe
.	SENT	.
__PARAGRAPHE__	NOM	<unknown>
Ceci	NAM	<unknown>
est	VER:pres	être
un	DET:ART	un
deuxième	NUM	deuxième
paragraphes	NOM	paragraphe
et	KON	et
il	PRO:PER	il
y	PRO:PER	y
en	PRO:PER	en
aura	VER:futu	avoir
trois	NUM	trois
!	SENT	!
__PARAGRAPHE__	NOM	<unknown>
Le	DET:ART	le
troisième	NUM	troisième
paragraphes	NOM	paragraphe
est	VER:pres	être
peut-être	ADV	peut-être
le	DET:ART	le
plus	ADV	plus
long	ADJ	long
pour	KON	pour
aujourd'hui	ADV	aujourd'hui
.	SENT	.
Lequel	PRO:REL	lequel
est	VER:pres	être
le	DET:ART	le
plus	ADV	plus
long	ADJ	long
?	SENT	?
Il	PRO:PER	il
contient	VER:pres	contenir
peu	ADV	peu
à	PRP	à
peu	ADV	peu
de	PRP	de
nombreuses	ADJ	nombreux
locutions	NOM	locution
ou	KON	ou
expressions	NOM	expression
particulières	ADJ	particulier
pour	PRP	pour
tester	VER:infi	tester
des	PRP:det	du
choses	NOM	chose
assez	ADV	assez
basiques	ADJ	basique
.	SENT	.
__PARAGRAPHE__	NOM	<unknown>
